0.00000 	0.00000 	0.00001 	
1.00000 	0.00000 	0.00001 	
2.00000 	0.00000 	0.00001 	
3.00000 	0.00000 	0.00001 	
4.00000 	0.00000 	0.00001 	
5.00000 	0.00000 	0.00002 	
6.00000 	0.00000 	0.00002 	
7.00000 	0.00000 	0.00002 	
8.00000 	0.00000 	0.00002 	
9.00000 	0.00000 	0.00003 	
10.00000 	0.00000 	0.00002 	
11.00000 	0.00000 	0.00003 	
12.00000 	0.00000 	0.00003 	
13.00000 	0.00000 	0.00003 	
14.00000 	0.00000 	0.00004 	
15.00000 	0.00001 	0.00004 	
16.00000 	0.00001 	0.00004 	
17.00000 	0.00002 	0.00004 	
18.00000 	0.00003 	0.00004 	
19.00000 	0.00006 	0.00005 	
20.00000 	0.00009 	0.00005 	
21.00000 	0.00015 	0.00006 	
22.00000 	0.00024 	0.00005 	
23.00000 	0.00040 	0.00006 	
24.00000 	0.00065 	0.00006 	
